Steps,Policy/Extrinsic Value Estimate,Policy/GAIL Value Estimate,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward,Policy/GAIL Reward
1255000,2.125541,1.0928199,6.488279,9.9999976e-05,None,None,None,None
1260000,2.1686697,1.0563974,6.1717725,9.999998e-05,-10.734957748983106,4981.0,-10.533230499492493,114.27019673215982
1265000,2.019533,1.1078608,6.590504,9.9999976e-05,None,None,-11.743594455183484,48.736272608037325
1270000,2.0886173,1.0622313,6.440279,9.9999976e-05,None,None,None,None
1275000,2.1376934,1.0289388,6.2173347,9.9999976e-05,None,None,None,None
1280000,2.4597182,1.0632501,5.7346,9.9999976e-05,None,None,None,None
1285000,2.7610185,1.0470209,5.9934273,9.9999976e-05,None,None,None,None
1290000,2.5930798,1.0781177,6.01679,9.9999976e-05,None,None,None,None
1295000,3.0133953,1.076432,6.853918,9.9999976e-05,None,None,None,None
1300000,2.970488,0.9812641,6.7995286,9.9999976e-05,None,None,None,None
1305000,2.8889961,0.98933,6.344658,9.9999976e-05,None,None,None,None
1310000,3.0340776,0.98067075,6.2536125,9.9999976e-05,None,None,None,None
1315000,2.318838,1.1351558,6.6380706,9.9999976e-05,None,None,None,None
1320000,2.5849714,0.9923136,6.392545,9.999998e-05,-9.90200100307023,4981.0,-10.44933281071717,53.07449542540125
1325000,2.0621772,1.0851882,6.687853,9.9999976e-05,None,None,-7.165342852007598,8.53550695393642
1330000,2.322301,1.009178,6.5662427,9.9999976e-05,None,None,None,None
1335000,2.7455091,1.1476698,6.7795367,9.9999976e-05,None,None,None,None
1340000,3.0210907,0.97335976,6.6392694,9.9999976e-05,None,None,None,None
1345000,2.594302,0.9750262,6.288647,9.9999976e-05,None,None,None,None
1350000,2.4552007,1.0018941,6.2662797,9.9999976e-05,None,None,None,None
1355000,2.6769836,0.93666166,6.27189,9.9999976e-05,None,None,None,None
1360000,2.6173205,0.8948716,6.2603183,9.9999976e-05,None,None,None,None
1365000,2.7382367,0.9167563,6.4839478,9.9999976e-05,None,None,None,None
1370000,2.8350089,0.9163488,6.920658,9.9999976e-05,None,None,None,None
1375000,3.1638982,0.98693496,6.9241586,9.9999976e-05,None,None,None,None
1380000,3.350158,0.8493976,6.06898,9.999998e-05,-8.173984969031457,4981.0,-7.922191195590939,51.81497356246756
1385000,2.691165,1.0338362,6.0545416,9.9999976e-05,None,None,-8.929366302598888,14.009242907011867
1390000,2.6995268,1.1090493,6.572844,9.9999976e-05,None,None,None,None
1395000,2.7599587,1.0115477,7.2938485,9.9999976e-05,None,None,None,None
1400000,2.854834,0.9842583,7.2939034,9.9999976e-05,None,None,None,None
1405000,3.1126714,0.89362174,6.340069,9.9999976e-05,None,None,None,None
1410000,2.8699658,0.90078175,6.6839066,9.9999976e-05,None,None,None,None
1415000,2.803209,0.90904295,6.321532,9.9999976e-05,None,None,None,None
1420000,2.8405583,0.8965594,5.947443,9.9999976e-05,None,None,None,None
1425000,2.957397,1.1109972,5.7339244,9.9999976e-05,None,None,None,None
1430000,3.2017303,0.9484202,5.320098,9.9999976e-05,None,None,None,None
1435000,2.974511,0.8646723,6.1747355,9.9999976e-05,None,None,None,None
1440000,2.815855,0.87208027,5.8744607,9.999998e-05,-11.115507748389367,4981.0,-12.01557263900112,170.54692694064377
1445000,2.7957075,0.8971277,5.803091,9.9999976e-05,None,None,-8.415314053883776,28.724408613752228
1450000,3.0214384,0.9051307,5.743391,9.9999976e-05,None,None,None,None
1455000,2.8521676,0.9236349,5.718807,9.9999976e-05,None,None,None,None
1460000,2.7539961,0.803413,6.1164594,9.9999976e-05,None,None,None,None
1465000,2.705154,0.77725863,6.0136,9.9999976e-05,None,None,None,None
1470000,2.8269286,0.7919408,6.0606236,9.9999976e-05,None,None,None,None
1475000,2.9186728,0.7817864,6.1094556,9.9999976e-05,None,None,None,None
1480000,3.2048576,0.75213534,7.0410767,9.9999976e-05,None,None,None,None
1485000,3.3977404,0.7196538,6.8933506,9.9999976e-05,None,None,None,None
1490000,3.1443136,0.7761446,6.6256523,9.9999976e-05,None,None,None,None
1495000,2.9411635,0.7474295,6.330526,9.9999976e-05,None,None,None,None
1500000,2.947834,0.8025287,6.5574183,9.999998e-05,-9.08073156709664,4981.0,-10.181803903503654,69.59680361491903
1505000,3.0184584,0.76915795,6.0146136,9.9999976e-05,None,None,-5.777514674390356,16.135578140258684
1510000,2.961696,0.7783925,5.4948897,9.9999976e-05,None,None,None,None
1515000,2.7078943,0.9123678,5.263779,9.9999976e-05,None,None,None,None
1520000,2.8296092,0.72504634,6.200031,9.9999976e-05,None,None,None,None
1525000,2.8227367,0.7035831,6.1764884,9.9999976e-05,None,None,None,None
1530000,2.925551,0.7933101,6.106932,9.9999976e-05,None,None,None,None
1535000,3.036964,0.7208146,6.3113914,9.9999976e-05,None,None,None,None
1540000,3.276897,0.676879,6.2551484,9.9999976e-05,None,None,None,None
1545000,3.4887261,0.6920044,6.3106995,9.9999976e-05,None,None,None,None
1550000,3.332421,0.6640173,6.4904256,9.9999976e-05,None,None,None,None
1555000,3.3262017,0.7635703,6.3031383,9.9999976e-05,None,None,None,None
1560000,2.9709318,0.686763,6.2988744,9.999998e-05,-14.649902924666398,4981.0,-15.488021499115145,86.53358813678163
1565000,2.9869714,0.7339835,6.4243774,9.9999976e-05,None,None,-12.135547011780242,12.499731198275791
1570000,3.1086376,0.669855,6.3485856,9.9999976e-05,None,None,None,None
1575000,3.307235,0.6906993,6.150782,9.9999976e-05,None,None,None,None
1580000,3.0791724,0.72271115,6.4480834,9.9999976e-05,None,None,None,None
1585000,3.1106906,0.68957126,6.453713,9.9999976e-05,None,None,None,None
1590000,2.9051995,0.68902844,6.318373,9.9999976e-05,None,None,None,None
1595000,3.2913907,0.6205618,6.476748,9.9999976e-05,None,None,None,None
1600000,3.145582,0.6246971,6.461664,9.9999976e-05,None,None,None,None
1605000,3.1851969,0.659808,6.5547156,9.9999976e-05,None,None,None,None
1610000,3.0847347,0.63768524,6.612641,9.9999976e-05,None,None,None,None
1615000,3.0716522,0.66087174,6.306793,9.9999976e-05,None,None,None,None
1620000,3.2215958,0.60082287,6.214409,9.999998e-05,-9.04482316165801,4981.0,-8.584043090108834,57.940835833371644
1625000,3.202915,0.6275028,6.011105,9.9999976e-05,None,None,-10.42716348458392,9.305842465063202
1630000,2.9261315,0.66197056,5.9679275,9.9999976e-05,None,None,None,None
1635000,3.059604,0.5757775,5.517992,9.9999976e-05,None,None,None,None
1640000,3.1365292,0.580348,6.1386433,9.9999976e-05,None,None,None,None
1645000,3.0406365,0.646217,6.1466103,9.9999976e-05,None,None,None,None
1650000,2.9267304,0.7904443,6.404984,9.9999976e-05,None,None,None,None
1655000,3.1625881,0.6082005,6.176597,9.9999976e-05,None,None,None,None
1660000,3.0235472,0.72699666,5.9648614,9.9999976e-05,None,None,None,None
1665000,3.0150273,0.73739827,6.090628,9.9999976e-05,None,None,None,None
1670000,3.1914046,0.63423693,6.0844035,9.9999976e-05,None,None,None,None
