Steps,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Losses/Q1 Loss,Losses/Q2 Loss,Policy/Entropy Coeff,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
810000,17.735464,0.002011919,-17.832253,0.00069280167,0.0007581122,0.024873111,6.500026,0.00029999996,-28.044689973816276,4981.0,-28.044690012931824
815000,17.721773,0.0018147499,-17.744371,0.0007153974,0.00068073964,0.024441104,6.501643,0.00029999996,-9.469290075823665,1310.0,-9.469290375709534
820000,17.817448,0.0022703828,-17.719543,0.00085214764,0.00088650285,0.023790447,6.5334597,0.00029999999,-23.893609913997352,4981.0,-23.893609821796417
825000,17.699726,0.0020855172,-17.698149,0.0008064564,0.0007974281,0.023152782,6.470832,0.00029999996,-18.575199567868065,4981.0,-18.575199623902638
830000,17.542492,0.0023250731,-17.626644,0.0008200238,0.0008508614,0.022647718,6.44821,0.00029999996,-38.48333812924102,4981.0,-38.48333850502968
835000,17.449781,0.0028393862,-17.52093,0.0009546072,0.00095333596,0.022101246,6.472058,0.00029999999,-24.49534371200328,4406.333333333333,-24.49534383416176
840000,17.429981,0.0025017245,-17.427443,0.00091368996,0.0009389854,0.021673962,6.460023,0.00029999999,-31.7987965028733,4981.0,-31.79879629611969
845000,17.383505,0.0016862734,-17.380726,0.0006111285,0.00067285914,0.021258928,6.440999,0.00029999996,-23.10441408585757,3575.5,-23.104414135217667
850000,17.192986,0.13367492,-17.300543,0.059277184,0.059493277,0.02069364,6.4393964,0.00029999996,-7.641534584574401,1387.5,-7.64153466373682
855000,17.18002,0.109848715,-17.254503,0.046595283,0.047117446,0.020343313,6.4408064,0.00029999996,None,None,None
860000,17.094658,0.004678224,-17.24216,0.0010373058,0.0010963352,0.020104608,6.4838014,0.00029999999,-7.935473311071594,1427.6666666666667,-7.9354733030001325
865000,17.118788,0.1971682,-17.14259,0.09749519,0.09762623,0.019876359,6.4865646,0.00029999996,-28.474564757818978,3685.3333333333335,-28.474564790725708
870000,17.495483,0.15059024,-17.228924,0.06120775,0.0615654,0.019617412,6.448711,0.00029999996,None,None,None
875000,17.163448,0.087193064,-17.27944,0.03492187,0.034930963,0.019324977,6.4644403,0.00029999999,-18.070518189109862,4981.0,-18.07051831483841
880000,17.31564,0.0019494527,-17.271393,0.0006396982,0.000618135,0.01900596,6.5792766,0.00029999999,None,None,None
885000,17.30822,0.00138051,-17.246845,0.000563244,0.0005770686,0.01860948,6.5231495,0.00029999999,None,None,None
890000,17.245043,0.0013649806,-17.262722,0.0005315886,0.00054212107,0.018300952,6.5240183,0.00029999999,None,None,None
895000,17.21312,0.0012814956,-17.230818,0.0004996788,0.00050291425,0.017973946,6.5202584,0.00029999996,-15.510835494846106,4981.0,-15.510835707187653
900000,17.15784,0.0015694007,-17.179169,0.0006156871,0.00064277876,0.017668061,6.51476,0.00029999999,-18.932332158088684,4981.0,-18.93233209848404
905000,17.14073,0.0016168025,-17.118412,0.0005912088,0.00060638523,0.017350048,6.514258,0.00029999999,-50.026708371937275,4981.0,-50.02670872211456
910000,17.009094,0.0014513454,-17.07141,0.0005391437,0.0005671512,0.01688949,6.5248804,0.00029999999,-38.30838327109814,4981.0,-38.308383107185364
915000,16.945583,0.0011855074,-16.997261,0.00045083943,0.0004803146,0.016554447,6.5146236,0.00029999999,-35.47993904848894,4981.0,-30.922237992286682
920000,16.99818,0.0010959734,-16.957571,0.00040807028,0.00040876123,0.016408293,6.4965,0.00029999999,-11.003440987318754,948.0,-27.799390494823456
925000,16.823603,0.06300864,-16.943363,0.025957974,0.02600927,0.016222296,6.49926,0.00029999996,-29.23961690068245,3537.5,-29.239616870880127
930000,16.837126,0.06782368,-16.87347,0.028559642,0.028651327,0.015871216,6.492478,0.00029999999,-7.4002205254510045,2807.0,-7.400220610201359
935000,16.830173,0.052375983,-16.754873,0.023001779,0.023118192,0.015516494,6.4734416,0.00029999999,None,None,None
940000,16.713383,0.0639827,-16.73406,0.02641811,0.026470013,0.015150776,6.304881,0.00029999999,-24.58907755855471,4082.0,-24.589077651500702
945000,16.492804,0.03668233,-16.66925,0.016100021,0.016071592,0.014749953,6.3862123,0.00029999996,-22.876015636449058,3715.3333333333335,-22.876015692949295
950000,16.489416,0.080998726,-16.53858,0.035398256,0.035251115,0.014424295,6.269839,0.00029999996,-8.095350239425898,812.0,-8.09535026550293
955000,16.489403,0.07254754,-16.49604,0.026736245,0.027000882,0.014165318,6.359097,0.00029999999,-12.880728742107749,2329.6666666666665,-12.880728562672934
960000,16.436344,0.061558075,-16.445997,0.026989803,0.026681745,0.013964037,6.4990687,0.00029999996,-3.554035846143961,447.0,-3.554035782814026
965000,16.605103,0.060786996,-16.417658,0.027445503,0.027635114,0.013783129,6.4797816,0.00029999999,None,None,None
970000,16.491306,0.04738587,-16.462315,0.020691058,0.020812757,0.013577965,6.489936,0.00029999996,-5.004271345213056,916.0,-5.0042712688446045
975000,16.253475,0.0019561967,-16.433495,0.00051173824,0.0005160619,0.013309605,6.370333,0.00029999996,None,None,None
980000,16.087736,0.08787952,-16.224907,0.04163729,0.041594513,0.012955177,6.380972,0.00029999999,-21.827872196561657,3238.0,-21.82787199318409
985000,16.239834,0.014021986,-16.160677,0.0028313166,0.003076914,0.012711373,6.2007256,0.00029999996,None,None,None
990000,16.1517,0.001610907,-16.194237,0.0005096332,0.0005091909,0.012488997,6.428409,0.00029999999,-8.074341364204884,1294.0,-8.074341297149658
995000,16.206305,0.10789552,-16.143202,0.047096863,0.04713314,0.012166929,6.353101,0.00029999999,-23.48892733460525,4559.25,-21.94729472324252
1000000,16.190287,0.053066052,-16.11203,0.023206035,0.023219408,0.011850468,6.4810815,0.00029999996,-16.04003286268562,2493.5,-20.064630210399628
1005000,16.372864,0.001423358,-16.234179,0.00052766927,0.0005353163,0.011539276,6.4686913,0.00029999999,-9.492893643677235,1542.0,-9.49289357662201
1010000,16.247128,0.0014197152,-16.247297,0.0005403822,0.0005649092,0.011324895,6.465214,0.00029999999,None,None,None
1015000,16.099323,0.0011957454,-16.23816,0.00048626048,0.0004952601,0.01116444,6.433269,0.00029999999,-26.6788075491786,4981.0,-26.67880779504776
1020000,16.11278,0.0011385516,-16.125303,0.0004412666,0.00046462932,0.011024141,6.496103,0.00029999996,-19.881467745328944,3709.0,-17.733641266822815
