Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Losses/Q1 Loss,Losses/Q2 Loss,Policy/Entropy Coeff
880000,13.930122,4.7125545,0.00029999999,-2.1763624098384753,3460.3333333333335,-2.17636235182484,0.0025601562,-13.905762,0.0010985205,0.0011292765,0.0063136793
885000,13.902879,4.7734838,0.0003,-2.237247016552525,4102.0,-2.237247047635416,0.057755344,-13.869221,0.02847569,0.028177544,0.006193119
890000,13.73634,4.6892557,0.00029999999,-3.447978040940749,4214.0,-3.4479780066758394,0.030479247,-13.815775,0.014264396,0.014201792,0.006054183
895000,13.533475,4.547458,0.0003,-2.9352585942639657,1482.3333333333333,-2.935258597135544,0.044161428,-13.74167,0.020759087,0.020772459,0.0058927834
900000,13.456047,4.612522,0.00029999999,-2.2743130968883634,2057.3333333333335,-2.274313154319922,0.04366464,-13.628798,0.020866217,0.020933649,0.0057134638
905000,13.566043,4.642034,0.00029999999,-1.7342895865440369,865.5714285714286,-1.7342896003808295,0.1640764,-13.533067,0.07895893,0.07903339,0.0055410694
910000,13.28129,4.46622,0.00029999999,-2.23253327953474,1092.0,-2.2325332891196012,0.13395314,-13.43003,0.06451359,0.064203,0.005395012
915000,13.05803,4.4828687,0.0003,-2.4649600110715255,1214.5,-2.4649599716067314,0.22583704,-13.300606,0.10567982,0.105548315,0.005222988
920000,12.873956,4.452632,0.00029999999,-1.3284681187942624,326.875,-1.328468102728948,0.27426204,-13.183717,0.13134873,0.13130654,0.0050901687
925000,13.149709,4.6823726,0.00029999999,-1.5951462195565302,375.0,-1.5951462388038635,0.3103127,-13.11443,0.1520564,0.15175994,0.005010092
930000,12.923158,4.4077,0.0003,-2.079706217069179,811.0,-2.0797062277793885,0.3186675,-13.040083,0.15646656,0.15656367,0.0049546096
935000,12.832244,4.3579974,0.00029999996,-1.9965418849422254,714.8947368421053,-2.0289230110744634,0.14984626,-13.013494,0.07120682,0.07131887,0.0048839673
940000,12.665675,4.362175,0.00029999999,-1.428097283664661,408.2307692307692,-1.427067575177976,0.35374174,-12.90486,0.17008346,0.16976957,0.0047635906
945000,12.719551,4.37158,0.00029999999,-1.5440963487781119,392.25,-1.5440963422879577,0.31859955,-12.814602,0.15527897,0.15516238,0.0045876564
950000,12.832797,4.094884,0.00029999999,-1.709239237010479,679.6666666666666,-1.7092391898234685,0.33919168,-12.700729,0.16707677,0.1668456,0.0044531045
955000,12.670069,4.564853,0.00029999996,-1.3064982539234573,336.79411764705884,-1.3116804519386003,0.49966848,-12.652156,0.23874767,0.2398177,0.0043699075
960000,12.380077,3.7194662,0.00029999999,-1.2216420470547207,167.03703703703704,-1.210631531007864,0.6607764,-12.599671,0.31603736,0.3172637,0.0042849747
965000,12.219759,3.6935089,0.00029999999,-1.2720948948788091,204.17391304347825,-1.2858661387277686,0.6750213,-12.49548,0.3285902,0.32874393,0.0042161373
970000,12.4578085,3.9319708,0.00029999999,-1.2853017412824557,225.45,-1.284785297513008,0.9540148,-12.406274,0.47172055,0.47309977,0.0041585043
